MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Bathula Laxma Reddy,54,Miryalaguda,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Bathula Laxma Reddy.jpg
Uttam Kumar Reddy Nalamada,59,Huzurnagar,Male,Indian National Congress,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Uttam Kumar Reddy Nalamada.jpg
Nalamada Padmavathi Reddy,55,Kodad,Female,Indian National Congress,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Nalamada Padmavathi Reddy.jpg
Guntakandla Jagadish Reddy,58,Suryapet,Male,Bharat Rashtra Samithi,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Guntakandla Jagadish Reddy.jpg
Komati Reddy Venkat Reddy,60,Nalgonda,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Komati Reddy Venkat Reddy.jpg
Komatireddy Raj Gopal Reddy,56,Munugode,Male,Indian National Congress,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Komatireddy Raj Gopal Reddy.jpg
Kumbam Anil Kumar Reddy,62,Bhongir,Male,Indian National Congress,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Kumbam Anil Kumar Reddy.jpg
Vemula Veeresham,46,Nakrekal,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Vemula Veeresham.jpg
Mandula Samel,62,Thungathurthi,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Mandula Samel.jpg
Ilaiah Beerla,48,Alair,Male,Indian National Congress,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Ilaiah Beerla.jpg
Palla Rajeshwar Reddy,60,Jangoan,Male,Bharat Rashtra Samithi,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Palla Rajeshwar Reddy.jpg
Kadiyam Srihari,73,Ghanpur (Station),Male,Bharat Rashtra Samithi,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Kadiyam Srihari.jpg
Yashaswini Mamidala,26,Palakurthi,Female,Indian National Congress,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Yashaswini Mamidala.jpg
Jatoth Ram Chander Naik,48,Dornakal,Male,Indian National Congress,Elected,Professional Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Jatoth Ram Chander Naik.jpg
